"id","participant_id","realAge","correctGuess","predicted_age","finalComments"
"734","6923627876","15","0","18",
"10695","1006391062","30","0","14",
"736","2655169756","16","0","15",
"739","8356153343","18","0","17",
"741","7311526809","22","0","16",
"742","6631337045","19","0","22",
"743","7308774683","18","0","17",
"744","953971953","15","0","17",
"746","8270810786","33","0","14",
"747","1018572598","14","0","17",
"748","8802714203","17","0","16",
"749","9052271356","46","0","17",
"750","9923391058","17","0","16",
"751","6819148752","20","0","17",
"752","7617116277","15","0","21",
"753","9923391058","0","0","0","I have pretty bad astigmatism, but i wear contacts. Might interfere with the test, might not, I'm not sure."
"754","9743559346","27","0","15",
"755","1875575836","13","0","19",
"758","2786507314","74","0","15",
"759","9900514334","0","0","0","WHOA THAT WAS AWESOME. Awesome work, congrats!"
"760","3663455792","12","0","15",
"761","5212615018","20","0","17",
"762","1165357343","33","0","17",
"763","9843568366","18","0","14",
"764","5771210455","16","0","15",
"765","2309883052","15","0","17",
"10694","465717362","0","0","0","I am 44, but it would not let me submit my age
"
"767","2696809701","31","0","14",
"768","8405331016","52","0","16",
"769","8802946265","16","0","13",
"770","8368492210","14","0","17",
"772","6859344064","16","0","15",
"773","1550021490","37","0","13",
"774","9774012134","19","0","19",
"775","3395860121","51","0","20",
"776","7609065670","18","0","15",
"777","9281651341","20","0","16",
"778","4274057436","22","0","18",
"779","743756401","27","0","15",
"780","5442509725","27","0","15",
"781","7443594194","15","0","19",
"10693","465717362","44","0","24",
"783","4385799427","55","0","17",
"784","7347155285","17","0","19",
"785","702332283","14","0","16",
"786","546951822","18","0","14",
"787","5542030481","13","0","20",
"788","9530515847","16","0","15",
"789","6222018510","12","0","20",
"790","5292519812","22","0","16",
"791","2261363680","16","0","19",
"792","4185729975","28","0","17",
"793","3234475578","16","0","17",
"795","9236269874","39","0","17",
"10692","6244262456","28","0","16",
"797","1845499610","24","0","16",
"798","7007629862","34","0","15",
"10691","1098240565","55","0","18",
"802","7785431116","21","0","17",
"803","154446331","23","0","16",
"804","8245600725","14","0","13",
"805","5737840031","9","0","15",
"806","6812221638","59","0","20",
"807","6812221638","0","0","0","you were only 40 years adrift."
"808","9628582039","38","0","17",
"809","3329837541","45","0","14",
"810","907765338","19","0","14",
"811","1333712229","22","0","15",
"812","1236040124","63","0","21",
"813","8418394108","0","0","0","Nice. This is real cool. Keep up the good work."
"815","3483627850","23","0","15",
"10689","248652681","25","0","17",
"817","995018896","18","0","15",
"818","6460214881","37","0","18",
"819","3315328634","23","0","17",
"821","8530765159","21","0","17",
"822","3352417550","22","0","19",
"823","274622639","27","0","17",
"10688","4082664838","25","0","19",
"825","4791651410","54","0","20",
"826","454642665","43","0","14",
